Round,Age,Stage,Number_Oocyte,TUNEL_Cell,Ovary,Ovariole,Image_Code,Replicate,Vial
N2,5D,S1-7,27,1,1,12,65_5D_01_Overlay.ome.tif,37,65
N2,5D,S8-10,5,,1,12,65_5D_01_Overlay.ome.tif,37,65
N2,5D,S11,3,,1,12,65_5D_01_Overlay.ome.tif,37,65
N2,5D,S12-14,10,4,1,12,65_5D_01_Overlay.ome.tif,37,65
N2,5D,Germarium,,,1,12,65_5D_01_Overlay.ome.tif,37,65
N2,5D,S1-7,38,,2,12,65_5D_02_Overlay.ome.tif,38,65
N2,5D,S8-10,6,,2,12,65_5D_02_Overlay.ome.tif,38,65
N2,5D,S11,3,,2,12,65_5D_02_Overlay.ome.tif,38,65
N2,5D,S12-14,9,4,2,12,65_5D_02_Overlay.ome.tif,38,65
N2,5D,Germarium,,,2,12,65_5D_02_Overlay.ome.tif,38,65
N2,5D,S1-7,34,,3,11,65_5D_03_Overlay.ome.tif,39,65
N2,5D,S8-10,5,1,3,11,65_5D_03_Overlay.ome.tif,39,65
N2,5D,S11,2,,3,11,65_5D_03_Overlay.ome.tif,39,65
N2,5D,S12-14,12,6,3,11,65_5D_03_Overlay.ome.tif,39,65
N2,5D,Germarium,0,,3,11,65_5D_03_Overlay.ome.tif,39,65
N2,5D,S1-7,30,,4,10,65_5D_04_Overlay.ome.tif,40,65
N2,5D,S8-10,8,,4,10,65_5D_04_Overlay.ome.tif,40,65
N2,5D,S11,3,,4,10,65_5D_04_Overlay.ome.tif,40,65
N2,5D,S12-14,10,5,4,10,65_5D_04_Overlay.ome.tif,40,65
N2,5D,Germarium,0,,4,10,65_5D_04_Overlay.ome.tif,40,65
N2,5D,S1-7,22,,5,8,65_5D_Overlay.ome.tif,41,65
N2,5D,S8-10,8,,5,8,65_5D_Overlay.ome.tif,41,65
N2,5D,S11,1,,5,8,65_5D_Overlay.ome.tif,41,65
N2,5D,S12-14,3,,5,8,65_5D_Overlay.ome.tif,41,65
N2,5D,Germarium,,,5,8,65_5D_Overlay.ome.tif,41,65
N2,5D,S1-7,,,2,7,90_5D_Overlay.ome.tif,53,90
N2,5D,S8-10,,,2,7,90_5D_Overlay.ome.tif,53,90
N2,5D,S11,,,2,7,90_5D_Overlay.ome.tif,53,90
N2,5D,S12-14,,,2,7,90_5D_Overlay.ome.tif,53,90
N2,5D,Germarium,7,2,2,7,90_5D_Overlay.ome.tif,53,90
N2,5D,S1-7,,,1,8,90_5D_Overlay.ome.tif,54,90
N2,5D,S8-10,,,1,8,90_5D_Overlay.ome.tif,54,90
N2,5D,S11,,,1,8,90_5D_Overlay.ome.tif,54,90
N2,5D,S12-14,,,1,8,90_5D_Overlay.ome.tif,54,90
N2,5D,Germarium,8,,1,8,90_5D_Overlay.ome.tif,54,90
N2,5D,S1-7,42,19,1,8,103_5D_01_Overlay.ome.tif,56,103
N2,5D,S8-10,7,1,1,8,103_5D_01_Overlay.ome.tif,56,103
N2,5D,S11,5,,1,8,103_5D_01_Overlay.ome.tif,56,103
N2,5D,S12-14,15,1,1,8,103_5D_01_Overlay.ome.tif,56,103
N2,5D,Germarium,,,1,8,103_5D_01_Overlay.ome.tif,56,103
N2,5D,S1-7,45,5,2,11,103_5D_06_Overlay.ome.tif,57,103
N2,5D,S8-10,12,1,2,11,103_5D_06_Overlay.ome.tif,57,103
N2,5D,S11,1,,2,11,103_5D_06_Overlay.ome.tif,57,103
N2,5D,S12-14,19,5,2,11,103_5D_06_Overlay.ome.tif,57,103
N2,5D,Germarium,,,2,11,103_5D_06_Overlay.ome.tif,57,103
N2,5D,S1-7,66,20,3,16,103_5D_08_Overlay.ome.tif,58,103
N2,5D,S8-10,17,,3,16,103_5D_08_Overlay.ome.tif,58,103
N2,5D,S11,5,,3,16,103_5D_08_Overlay.ome.tif,58,103
N2,5D,S12-14,21,5,3,16,103_5D_08_Overlay.ome.tif,58,103
N2,5D,Germarium,,,3,16,103_5D_08_Overlay.ome.tif,58,103
N2,5D,S1-7,42,4,4,11,103_5D_Overlay.ome.tif,59,103
N2,5D,S8-10,12,,4,11,103_5D_Overlay.ome.tif,59,103
N2,5D,S11,5,,4,11,103_5D_Overlay.ome.tif,59,103
N2,5D,S12-14,24,2,4,11,103_5D_Overlay.ome.tif,59,103
N2,5D,Germarium,,,4,11,103_5D_Overlay.ome.tif,59,103
N2,5D,S1-7,13,2,1,5,112_5D_01_Overlay.ome.tif,61,112
N2,5D,S8-10,4,,1,5,112_5D_01_Overlay.ome.tif,61,112
N2,5D,S11,1,,1,5,112_5D_01_Overlay.ome.tif,61,112
N2,5D,S12-14,6,2,1,5,112_5D_01_Overlay.ome.tif,61,112
N2,5D,Germarium,0,,1,5,112_5D_01_Overlay.ome.tif,61,112
N2,5D,S1-7,43,9,2,14,153_5D_01_Overlay.ome.tif,80,153
